,id,standard_drug_name,gene,dataset,cancer_type,pvalue,effect_size,provided_pvalue,provided_effect_size,n_mut,n_wt,provided_n_mut,provided_n_wt
272,43538142,3-Cl-AHPC,USP40,All,pancan,0.135233,-1.49378,,,67,641,,
273,43538143,3-Cl-AHPC,SDK1,All,pancan,0.62439,-0.489638,,,151,557,,
274,43538144,3-Cl-AHPC,N4BP1,All,pancan,0.727316,-0.348699,,,17,691,,
275,43538145,3-Cl-AHPC,DNAJC17,All,pancan,0.256999,-1.13351,,,18,690,,
276,43538146,3-Cl-AHPC,SEMA3E,All,pancan,0.0263199,-2.22146,,,37,671,,
277,43538147,3-Cl-AHPC,GREM2,All,pancan,0.869961,0.163708,,,12,696,,
278,43538148,3-Cl-AHPC,PCDH11Y,All,pancan,0.659036,-0.441245,,,28,680,,
279,43538149,3-Cl-AHPC,CST4,All,pancan,0.776471,-0.283921,,,20,688,,
280,43538150,3-Cl-AHPC,GPR173,All,pancan,0.000909872,-3.31701,,,13,695,,
281,43538151,3-Cl-AHPC,NEURL2,All,pancan,0.207727,-1.25984,,,12,696,,
282,43538152,3-Cl-AHPC,PINX1,All,pancan,0.0299215,2.17113,,,21,687,,
283,43538153,3-Cl-AHPC,ENTPD1,All,pancan,0.756321,0.310316,,,21,687,,
