,standard_drug_name,cellosaurus_id,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
792,3-Cl-AHPC,NCI-H1793,All,CTRP2,16,0.002,66.0,3.46143,12.8449,0.308528,0.64676,28.0974,0.0661284
793,3-Cl-AHPC,UM-SCC-4,All,CTRP2,16,0.002,66.0,0.0394603,4.22425,-0.116717,0.959022,40.4249,0.0669712
794,3-Cl-AHPC,SK-ES-1,All,CTRP2,16,0.002,66.0,-1.30283,0.0864008,-1.30284,0.999991,48.9483,0.0858779
795,3-Cl-AHPC,HS888.T,All,CTRP2,16,0.002,66.0,7.06725,21.0777,-0.637794,0.459983,22.8696,0.0511953
796,3-Cl-AHPC,MDA-MB-453,All,CTRP2,16,0.002,66.0,1.51191,8.25228,0.358532,0.814194,33.7363,0.0903343
797,3-Cl-AHPC,NCI-H660,All,CTRP2,16,0.002,66.0,2.04438,7.19802,1.3173,0.846237,29.1153,0.0885894
798,3-Cl-AHPC,SAOS-2,All,CTRP2,16,0.002,66.0,1.51165,3.95048,1.47487,0.983434,30.3207,0.0482509
799,3-Cl-AHPC,U-BLC1,All,CTRP2,16,0.002,66.0,1.64981,2.80499,1.64956,0.999766,29.2782,0.0484116
800,3-Cl-AHPC,BT248,All,CTRP2,16,0.002,66.0,5.09595,10.5384,2.96511,0.594573,14.8419,0.11652
801,3-Cl-AHPC,NCI-H1694,All,CTRP2,16,0.002,66.0,-0.211304,1.74259,-0.212869,0.99912,41.6813,0.169303
802,3-Cl-AHPC,SEM,All,CTRP2,16,0.002,66.0,-2.40163,-1.41817,-2.40163,1.0,56.2686,0.0364881
803,3-Cl-AHPC,HS822.T,All,CTRP2,16,0.002,66.0,5.95962,6.41072,5.78654,0.601786,1.25939,0.0560861
804,3-Cl-AHPC,HS940.T,All,CTRP2,16,0.002,66.0,7.62598,10.7947,4.82208,0.250359,2.76847,0.0715803
805,3-Cl-AHPC,KMBC-2,All,CTRP2,16,0.002,66.0,1.09813,5.65581,0.747326,0.915642,34.0631,0.107677
806,3-Cl-AHPC,RCC10RGB,All,CTRP2,16,0.002,66.0,6.53862,13.9663,2.4874,0.463515,13.7961,0.0480084
807,3-Cl-AHPC,SK-N-BE(2),All,CTRP2,16,0.002,66.0,0.465226,7.34876,-0.444598,0.855804,39.4153,0.143602
808,3-Cl-AHPC,AU565,All,CTRP2,16,0.002,66.0,1.79781,7.8618,0.812008,0.823276,31.4984,0.0739363
809,3-Cl-AHPC,COLO320,All,CTRP2,16,0.002,66.0,-1.80814,0.264809,-1.8086,0.999757,52.313,0.102809
810,3-Cl-AHPC,MDA-MB-415,All,CTRP2,16,0.002,66.0,4.30929,8.65107,3.11389,0.706424,16.1189,0.0569465
811,3-Cl-AHPC,PANC10.05,All,CTRP2,16,0.002,66.0,2.97774,8.14612,1.95745,0.78646,24.0974,0.0595561
